"State","District","week_17","week_18","week_19","week_20","week_21"
"Andhra Pradesh","Anantapur",1.57,1.44,1.01,1.24,0.66
"Andhra Pradesh","Chittoor",1.24,1.2,0.98,1.14,0.97
"Andhra Pradesh","East Godavari",1.42,1.6,1.08,1.15,1.02
"Andhra Pradesh","Guntur",1.37,1.01,1.08,0.86,0.89
"Andhra Pradesh","Krishna",1.15,1.52,1.02,1,0.96
"Andhra Pradesh","Kurnool",0.95,2.04,0.67,0.88,1.2
"Andhra Pradesh","Prakasam",1.49,2.19,0.73,1.15,1.32
"Andhra Pradesh","S.P.S. Nellore",1.47,0.89,1.22,0.87,0.81
"Andhra Pradesh","Srikakulam",1.12,1.36,0.68,1.11,0.73
"Andhra Pradesh","Visakhapatnam",1.36,1.56,1.03,1,0.79
"Andhra Pradesh","Vizianagaram",1.46,1.49,0.8,1.14,0.87
"Andhra Pradesh","West Godavari",2.88,2.19,0.98,1.3,1.05
"Andhra Pradesh","Y.S.R. Kadapa",1.52,1.68,1.41,0.82,0.79
"Arunachal Pradesh","Anjaw",1.24,3.47,0.53,2.28,0.28
"Arunachal Pradesh","Capital Complex",1,1,1,1,1
"Arunachal Pradesh","Changlang",1.83,1.39,1.73,1.29,3.9
"Arunachal Pradesh","East Kameng",1,1.43,1.22,2.24,0.21
"Arunachal Pradesh","East Siang",1.06,1.54,1.05,0.98,0.6
"Arunachal Pradesh","Kamle",1,1,1.14,5.88,0.55
"Arunachal Pradesh","Kra Daadi",1,1,1.43,0.73,1
"Arunachal Pradesh","Kurung Kumey",1,1,1.43,0.7,5
"Arunachal Pradesh","Lepa Rada",0.7,1.28,1.66,0.5,0.81
"Arunachal Pradesh","Lohit",2.24,1.4,1.89,1.05,0.5
"Arunachal Pradesh","Longding",2.57,0.42,1.14,1.12,0.56
"Arunachal Pradesh","Lower Dibang Valley",2.19,0.67,0.74,1.08,1.4
"Arunachal Pradesh","Lower Siang",1.43,2.16,0.76,1.07,0.34
"Arunachal Pradesh","Lower Subansiri",1.81,1.82,1.23,1.25,0.64
"Arunachal Pradesh","Namsai",1.06,3.02,1.35,1.31,0.47
"Arunachal Pradesh","Pakke Kessang",2.38,0.39,1,1.56,1.2
"Arunachal Pradesh","Papum Pare",1.48,1.3,0.93,1.07,0.78
"Arunachal Pradesh","Shi Yomi",1,1,1,1.29,0.88
"Arunachal Pradesh","Siang",1,1.14,0.88,1,1
"Arunachal Pradesh","Tawang",2.11,0.88,1.45,2.21,0.9
"Arunachal Pradesh","Tirap",1.31,1.36,0.54,1.21,0.98
"Arunachal Pradesh","Upper Dibang Valley",1,2.29,1.12,0.98,0.37
"Arunachal Pradesh","Upper Siang",1,1.8,0.7,2.51,1.19
"Arunachal Pradesh","Upper Subansiri",1.39,1.36,1.27,3.23,0.54
"Arunachal Pradesh","West Kameng",0.94,1.23,0.69,1.55,2.36
"Arunachal Pradesh","West Siang",1.6,1.18,1.17,1.05,0.51
"Bihar","Araria",1.33,1.35,1.02,0.88,0.68
"Bihar","Arwal",1.26,1.05,0.87,0.54,0.39
"Bihar","Aurangabad",1.25,0.82,0.82,0.5,0.57
"Bihar","Banka",1.38,1.07,0.86,0.71,1.17
"Bihar","Begusarai",1.38,0.86,0.88,0.72,0.7
"Bihar","Bhagalpur",1.13,0.92,0.62,0.86,0.98
"Bihar","Bhojpur",0.99,0.92,0.75,0.62,1.17
"Bihar","Buxar",1.11,0.79,0.68,0.74,1.43
"Bihar","Darbhanga",1.36,1.21,0.78,0.94,1.13
"Bihar","East Champaran",1.09,0.93,1.45,0.68,0.41
"Bihar","Gaya",1.2,0.76,0.61,0.85,0.69
"Bihar","Gopalganj",1.62,1.25,0.91,0.83,0.46
"Bihar","Jamui",1.24,1.45,0.66,0.62,0.42
"Bihar","Jehanabad",1.39,0.54,0.66,0.6,0.47
"Bihar","Kaimur",1.47,0.82,0.72,0.51,0.55
"Bihar","Katihar",1.19,1.33,1.08,0.53,0.85
"Bihar","Khagaria",1.41,1.07,0.95,0.44,0.76
"Bihar","Kishanganj",1.18,1.27,0.94,1.13,0.51
"Bihar","Lakhisarai",1.06,0.93,0.99,0.74,0.64
"Bihar","Madhepura",1.33,1.19,0.81,0.8,0.67
"Bihar","Madhubani",1.52,1.24,0.9,0.8,0.51
"Bihar","Munger",0.92,1.07,1.03,0.6,0.47
"Bihar","Muzaffarpur",1,1.14,0.76,0.72,1.09
"Bihar","Nalanda",1.3,1.27,0.73,0.71,0.43
"Bihar","Nawada",1.22,0.88,0.69,0.63,0.64
"Bihar","Patna",0.89,1.17,0.67,0.82,0.83
"Bihar","Purnia",1.45,0.88,1.07,0.66,0.47
"Bihar","Rohtas",1.36,0.82,0.79,0.49,0.45
"Bihar","Saharsa",1.34,1.26,0.7,0.69,0.96
"Bihar","Samastipur",1.82,1.07,1.14,0.6,0.74
"Bihar","Saran",1.18,0.82,0.82,0.59,0.46
"Bihar","Sheikhpura",1.02,2.28,0.54,0.45,0.38
"Bihar","Sheohar",1.35,1.45,0.83,0.72,1.33
"Bihar","Sitamarhi",1.52,1.19,0.7,0.9,0.67
"Bihar","Siwan",1.09,1.02,0.9,0.64,0.59
"Bihar","Supaul",1.93,0.93,0.93,0.87,0.67
"Bihar","Vaishali",1.24,2.07,0.66,0.57,0.65
"Bihar","West Champaran",1.48,1.09,0.65,0.63,0.57
"Chandigarh","Chandigarh",1.19,1.02,1,0.73,0.66
"Chhattisgarh","Balod",1.03,0.94,0.75,0.64,0.66
"Chhattisgarh","Baloda Bazar",1.07,0.88,0.91,0.63,0.54
"Chhattisgarh","Balrampur",1.2,1.07,1.2,0.77,0.67
"Chhattisgarh","Bametara",1.17,0.87,0.6,0.69,0.64
"Chhattisgarh","Bastar",1.13,0.84,1.12,0.89,0.69
"Chhattisgarh","Bijapur",0.9,1.36,0.99,1,1.07
"Chhattisgarh","Bilaspur",1.05,0.91,0.59,0.53,0.49
"Chhattisgarh","Dakshin Bastar Dantewada",1.35,1.11,0.88,0.94,0.86
"Chhattisgarh","Dhamtari",1.01,0.99,0.68,0.7,0.54
"Chhattisgarh","Durg",0.86,0.71,0.56,0.56,0.62
"Chhattisgarh","Gariaband",0.93,0.9,0.75,0.65,0.61
"Chhattisgarh","Gaurela Pendra Marwahi",1.07,1.4,0.86,0.72,0.55
"Chhattisgarh","Janjgir Champa",1.06,1.21,0.67,0.7,0.6
"Chhattisgarh","Jashpur",1.14,1.23,0.86,0.7,0.75
"Chhattisgarh","Kabeerdham",1.34,0.86,0.85,0.52,0.51
"Chhattisgarh","Kondagaon",1.11,1.44,0.69,0.66,0.96
"Chhattisgarh","Korba",1.15,1.07,0.64,0.69,0.32
"Chhattisgarh","Koriya",1.4,1.25,1.01,0.84,0.56
"Chhattisgarh","Mahasamund",1.15,1.07,0.67,0.66,0.6
"Chhattisgarh","Mungeli",1.34,1.05,0.91,0.49,0.66
"Chhattisgarh","Narayanpur",1.19,1.27,1.23,0.96,0.75
"Chhattisgarh","Raigarh",1.15,1.03,0.82,0.64,0.59
"Chhattisgarh","Raipur",0.68,0.76,0.7,0.59,0.58
"Chhattisgarh","Rajnandgaon",0.99,0.8,0.58,0.56,0.44
"Chhattisgarh","Sukma",1.75,0.96,1.18,0.81,0.42
"Chhattisgarh","Surajpur",1.28,1.2,1.1,0.81,0.62
"Chhattisgarh","Surguja",0.88,1.18,0.85,0.84,0.69
"Chhattisgarh","Uttar Bastar Kanker",1.23,1.02,0.74,0.56,0.54
"Delhi","Delhi",0.94,0.89,0.73,0.48,0.41
"Dadra and Nagar Haveli and Daman and Diu","Dadra and Nagar Haveli",0.81,0.8,0.58,0.51,0.54
"Dadra and Nagar Haveli and Daman and Diu","Daman",0.92,1.07,0.76,0.65,0.97
"Dadra and Nagar Haveli and Daman and Diu","Diu",0.86,1.11,1.26,0.62,0.15
"Gujarat","Ahmedabad",1.16,0.85,0.76,0.7,0.31
"Gujarat","Amreli",1.32,0.96,1.46,0.75,0.44
"Gujarat","Anand",1.41,1.26,1.14,0.97,0.58
"Gujarat","Aravalli",1.44,1.2,1.05,0.74,0.23
"Gujarat","Banaskantha",1.14,0.77,1.19,0.53,1.23
"Gujarat","Bharuch",0.97,0.79,1.44,0.78,0.64
"Gujarat","Bhavnagar",1.49,1.1,0.82,0.57,0.75
"Gujarat","Botad",0.91,0.98,0.94,0.42,0.93
"Gujarat","Chhota Udaipur",1.85,1.27,0.84,0.55,0.69
"Gujarat","Dahod",1.69,0.83,1.01,0.76,0.46
"Gujarat","Dang",1.31,0.74,0.95,0.52,1
"Gujarat","Devbhumi Dwarka",0.97,1.08,1.82,0.56,2.24
"Gujarat","Gandhinagar",1.2,0.96,0.89,0.66,0.52
"Gujarat","Gir Somnath",1.74,1.21,1.14,0.72,0.4
"Gujarat","Jamnagar",1.32,1.03,0.81,0.59,0.63
"Gujarat","Junagadh",1.39,1.24,1.28,0.74,0.38
"Gujarat","Kheda",1.31,1.09,1,0.81,0.6
"Gujarat","Kutch",1.12,0.94,1.07,0.73,0.84
"Gujarat","Mahisagar",2.28,0.74,1.06,0.64,0.58
"Gujarat","Mehsana",0.99,1.23,0.82,0.44,0.59
"Gujarat","Morbi",1.05,1.28,0.65,0.55,0.45
"Gujarat","Narmada",0.72,1.6,0.87,0.68,0.92
"Gujarat","Navsari",1.2,1.13,0.78,0.67,0.75
"Gujarat","Panchmahal",1.22,1.19,1.32,0.78,0.62
"Gujarat","Patan",1.24,0.76,1.04,0.68,0.91
"Gujarat","Porbandar",1.2,1.05,0.94,1.61,0.93
"Gujarat","Rajkot",0.83,1.04,1.04,0.65,0.94
"Gujarat","Sabarkantha",1.16,1.16,0.92,1.03,0.73
"Gujarat","Surat",0.94,0.83,0.74,0.61,0.87
"Gujarat","Surendranagar",2.13,0.57,0.91,0.59,0.72
"Gujarat","Tapi",1.17,0.71,0.75,0.44,0.67
"Gujarat","Vadodara",1.12,1.17,1.14,0.71,0.75
"Gujarat","Valsad",1.35,0.99,0.96,0.8,0.51
"Himachal Pradesh","Bilaspur",1.49,1.78,1.1,0.71,0.44
"Himachal Pradesh","Chamba",1.94,1.58,1.37,0.78,0.53
"Himachal Pradesh","Hamirpur",1.3,1.24,1.35,0.72,0.86
"Himachal Pradesh","Kangra",1.46,1.39,1.29,0.8,0.38
"Himachal Pradesh","Kinnaur",1.34,1.34,1.03,1,0.45
"Himachal Pradesh","Kullu",1.18,1.11,1.07,0.93,0.43
"Himachal Pradesh","Lahaul and Spiti",1.07,1.08,0.77,0.87,0.47
"Himachal Pradesh","Mandi",1.47,1.44,1.28,0.65,0.61
"Himachal Pradesh","Shimla",1.38,1.29,1.18,0.77,0.74
"Himachal Pradesh","Sirmaur",1.33,1.24,1.15,0.7,0.89
"Himachal Pradesh","Solan",1.15,1.29,0.96,0.72,0.92
"Himachal Pradesh","Una",0.94,1.61,1.41,0.71,0.56
"Haryana","Ambala",1.37,1.11,0.95,0.71,0.69
"Haryana","Bhiwani",1.28,1.77,1.1,0.75,0.83
"Haryana","Charkhi Dadri",1.37,0.94,2.12,0.78,0.6
"Haryana","Faridabad",1.18,1.06,0.88,0.48,0.57
"Haryana","Fatehabad",1.14,1.32,0.99,0.81,0.99
"Haryana","Gurugram",1.27,1.04,0.76,0.61,0.3
"Haryana","Hisar",1.35,1.18,1.02,0.7,0.69
"Haryana","Jhajjar",1.31,1.39,0.95,1.05,0.86
"Haryana","Jind",1.73,0.76,1.05,0.73,0.44
"Haryana","Kaithal",1.86,0.91,0.86,0.84,1.03
"Haryana","Karnal",1.32,0.94,0.9,0.68,0.58
"Haryana","Kurukshetra",0.89,1.13,1,0.74,0.58
"Haryana","Mahendragarh",3.82,1.62,0.93,0.75,0.42
"Haryana","Nuh",1.5,2.35,0.69,0.66,0.84
"Haryana","Palwal",1.62,1.56,1.36,0.98,0.51
"Haryana","Panchkula",1.26,1.04,1.04,0.71,0.53
"Haryana","Panipat",1.34,1.21,0.87,0.6,0.6
"Haryana","Rewari",1.34,1.57,0.77,1.19,1.06
"Haryana","Rohtak",1.75,1.17,1.11,0.88,0.59
"Haryana","Sirsa",1.96,1.24,1.19,0.62,0.54
"Haryana","Sonipat",1.07,1.25,0.79,0.69,0.61
"Haryana","Yamunanagar",1.33,1.14,0.89,1,0.64
"Jharkhand","Bokaro",1.25,1.16,0.89,0.65,0.56
"Jharkhand","Chatra",1.19,0.94,1.01,0.43,0.62
"Jharkhand","Deoghar",1.11,0.82,0.89,0.61,1.45
"Jharkhand","Dhanbad",1.07,0.81,1.05,1.05,0.52
"Jharkhand","Dumka",1.33,0.63,0.73,0.38,0.89
"Jharkhand","East Singhbhum",1.12,1.05,0.81,0.69,0.46
"Jharkhand","Garhwa",1.41,0.8,1.29,0.67,0.73
"Jharkhand","Giridih",2.21,1.25,0.73,0.69,0.88
"Jharkhand","Godda",1.22,1.13,0.73,0.51,0.37
"Jharkhand","Gumla",1.25,1.2,0.79,0.63,0.75
"Jharkhand","Hazaribagh",1.23,1.2,0.67,0.54,0.5
"Jharkhand","Jamtara",1.18,0.88,0.95,0.46,0.52
"Jharkhand","Khunti",0.87,1.04,1,0.56,0.6
"Jharkhand","Koderma",0.92,0.93,0.83,0.55,0.6
"Jharkhand","Latehar",1.42,1.17,0.82,0.56,0.84
"Jharkhand","Lohardaga",2.14,0.86,0.66,0.61,0.69
"Jharkhand","Pakur",0.95,2.64,2.58,0.07,0.81
"Jharkhand","Palamu",1.33,1.09,1.45,0.39,0.66
"Jharkhand","Ramgarh",1.12,1.04,0.75,0.61,0.38
"Jharkhand","Ranchi",1.11,0.74,0.7,0.56,0.64
"Jharkhand","Sahibganj",0.49,1,0.79,0.78,0.68
"Jharkhand","Saraikela-Kharsawan",0.97,1.15,0.72,0.73,0.75
"Jharkhand","Simdega",1.03,1.09,0.96,0.78,1
"Jharkhand","West Singhbhum",1.25,1.2,0.92,0.76,0.48
"Jammu and Kashmir","Anantnag",1.92,1.5,0.97,0.92,1.03
"Jammu and Kashmir","Bandipora",2.52,1.32,1.02,1.32,0.86
"Jammu and Kashmir","Baramulla",1.38,1.28,0.95,0.83,1.28
"Jammu and Kashmir","Budgam",1.79,1.56,1.02,1.1,0.89
"Jammu and Kashmir","Doda",2.32,1.14,1.86,0.9,1.03
"Jammu and Kashmir","Ganderbal",1.68,1.31,1.18,1.14,1.1
"Jammu and Kashmir","Jammu",1.07,1.14,1.07,0.9,0.81
"Jammu and Kashmir","Kathua",1.07,1.73,1.24,0.86,0.64
"Jammu and Kashmir","Kishtwar",1.92,1.24,1.77,0.82,0.61
"Jammu and Kashmir","Kulgam",1.87,1.34,1.12,0.83,0.86
"Jammu and Kashmir","Kupwara",1.9,1.15,1.39,0.9,2.05
"Jammu and Kashmir","Pulwama",1.25,2.38,1,0.79,1.25
"Jammu and Kashmir","Punch",1.69,1.79,1.06,1.09,0.62
"Jammu and Kashmir","Rajouri",1.84,1.74,1.11,0.82,0.72
"Jammu and Kashmir","Ramban",1.36,1.49,0.94,1.39,0.73
"Jammu and Kashmir","Reasi",0.72,0.86,1.34,0.76,1.14
"Jammu and Kashmir","Samba",1.47,1.71,0.97,0.96,0.92
"Jammu and Kashmir","Shopiyan",1.7,2.18,1.13,0.74,0.7
"Jammu and Kashmir","Srinagar",1.45,1.2,0.8,0.83,0.79
"Jammu and Kashmir","Udhampur",1.05,1.62,1.17,1.09,0.43
"Karnataka","Bagalkote",2.38,1.7,1.14,0.59,0.74
"Karnataka","Ballari",1.45,1.12,1.41,0.99,0.75
"Karnataka","Belagavi",1.52,1.55,1.07,1.76,0.54
"Karnataka","Bengaluru Rural",1.61,1.05,1.09,0.95,0.46
"Karnataka","Bengaluru Urban",1.32,1.1,0.83,0.7,0.85
"Karnataka","Bidar",1.04,1.23,0.7,0.62,0.43
"Karnataka","Chamarajanagara",1.62,1.48,1.13,0.8,1.1
"Karnataka","Chikkaballapura",1.72,1.19,0.87,0.99,1.58
"Karnataka","Chikkamagaluru",1.72,1.45,1,1.34,1.22
"Karnataka","Chitradurga",1.04,1.25,1.15,1.88,1.01
"Karnataka","Dakshina Kannada",1.47,1.43,1.02,0.84,1.11
"Karnataka","Davanagere",1.17,1.47,0.93,1.78,0.61
"Karnataka","Dharwad",1.37,1.48,0.98,1.09,0.9
"Karnataka","Gadag",1.45,1.38,1.72,1.17,0.78
"Karnataka","Hassan",1.44,1.8,0.95,0.9,1.6
"Karnataka","Haveri",1.66,2.37,1.02,0.8,1.48
"Karnataka","Kalaburagi",1.15,1.2,0.85,0.76,0.44
"Karnataka","Kodagu",3.19,1.11,1,0.6,1.82
"Karnataka","Kolar",1.79,0.99,1,1.04,0.56
"Karnataka","Koppal",2.1,1.3,0.86,1.28,0.74
"Karnataka","Mandya",1.79,1.3,1.04,0.68,0.89
"Karnataka","Mysuru",1.69,1.43,0.75,1.05,1.19
"Karnataka","Raichur",1.86,0.98,0.89,1.03,1.1
"Karnataka","Ramanagara",1.2,1.81,0.9,0.99,0.72
"Karnataka","Shivamogga",1.42,1.58,1.28,1.01,0.67
"Karnataka","Tumakuru",1.18,1.42,1.05,0.94,0.81
"Karnataka","Udupi",1.69,1.6,1,0.91,1.17
"Karnataka","Uttara Kannada",1.66,1.99,1.16,0.99,1.01
"Karnataka","Vijayapura",1.28,0.98,1.2,0.65,1.06
"Karnataka","Yadgir",2.22,1.51,1.18,0.59,1.01
"Kerala","Alappuzha",1.41,1.35,0.92,0.91,0.85
"Kerala","Ernakulam",1.24,1.1,0.96,0.78,0.89
"Kerala","Idukki",1.27,0.98,1.05,0.92,1.1
"Kerala","Kannur",1.18,1.01,1.09,0.8,0.88
"Kerala","Kasaragod",1.21,0.98,0.99,0.81,0.85
"Kerala","Kollam",1.47,1.36,1.23,0.95,0.76
"Kerala","Kottayam",1.36,0.97,0.96,0.79,0.82
"Kerala","Kozhikode",1.42,1.07,0.82,0.71,0.86
"Kerala","Malappuram",1.42,1.12,1.12,0.94,0.96
"Kerala","Palakkad",1.48,1.19,1.14,0.93,0.96
"Kerala","Pathanamthitta",1.24,1.04,1,0.9,0.85
"Kerala","Thiruvananthapuram",1.54,1.12,1.11,0.87,0.94
"Kerala","Thrissur",1.41,1.04,1.02,0.78,1.05
"Kerala","Wayanad",1.23,1.04,0.9,0.8,0.86
"Ladakh","Kargil",1.06,1.92,1.39,0.64,0.31
"Ladakh","Leh",0.77,1.14,0.82,1.07,0.26
"Lakshadweep","Lakshadweep",1.09,0.9,1.04,1.52,1.07
"Maharashtra","Ahmednagar",0.96,1.12,0.92,0.88,0.85
"Maharashtra","Akola",0.85,1.11,1.03,1.1,0.89
"Maharashtra","Amravati",1.03,1.22,1.12,1.03,0.95
"Maharashtra","Aurangabad",1.05,0.77,0.89,0.86,0.93
"Maharashtra","Beed",1.13,1.05,0.9,0.9,0.75
"Maharashtra","Bhandara",1.09,0.63,0.65,0.52,0.68
"Maharashtra","Buldhana",2.24,1.78,0.79,0.67,1.16
"Maharashtra","Chandrapur",0.94,0.93,0.94,0.56,0.89
"Maharashtra","Dhule",0.98,0.85,1.22,0.91,0.63
"Maharashtra","Gadchiroli",0.98,0.92,0.82,0.75,0.67
"Maharashtra","Gondia",0.87,0.81,1.13,0.34,0.36
"Maharashtra","Hingoli",0.99,0.96,0.68,1,0.87
"Maharashtra","Jalgaon",0.91,0.93,0.96,0.75,0.52
"Maharashtra","Jalna",0.98,0.97,0.75,0.85,1.99
"Maharashtra","Kolhapur",1.2,1.39,1.15,0.8,1.14
"Maharashtra","Latur",0.86,0.96,0.69,0.72,0.88
"Maharashtra","Mumbai",0.69,0.78,0.72,0.73,1.33
"Maharashtra","Nagpur",0.99,0.76,0.66,0.57,0.9
"Maharashtra","Nanded",0.79,0.7,0.7,0.64,0.64
"Maharashtra","Nandurbar",1.69,0.39,0.74,0.78,0.66
"Maharashtra","Nashik",1.21,0.8,0.66,0.84,0.49
"Maharashtra","Osmanabad",1.08,0.88,0.98,0.99,1.07
"Maharashtra","Palghar",1.01,0.95,0.92,0.55,1.24
"Maharashtra","Parbhani",1.15,0.9,0.84,0.63,1.16
"Maharashtra","Pune",0.91,0.99,0.88,0.64,0.85
"Maharashtra","Raigad",0.92,0.87,0.84,0.78,1.59
"Maharashtra","Ratnagiri",1.63,0.93,1.09,0.76,1.87
"Maharashtra","Sangli",1.2,1.15,0.94,1.06,0.86
"Maharashtra","Satara",1.12,1.17,0.93,0.86,1.56
"Maharashtra","Sindhudurg",0.86,1.61,1.16,0.62,2.54
"Maharashtra","Solapur",1.24,1.1,0.85,1.26,0.64
"Maharashtra","Thane",0.8,0.76,0.73,0.74,0.99
"Maharashtra","Wardha",1.05,0.89,0.84,0.75,0.78
"Maharashtra","Washim",0.97,1.23,0.94,1.05,1.15
"Maharashtra","Yavatmal",1.19,0.87,0.77,0.88,1
"Meghalaya","East Garo Hills",1.43,1.27,1.67,1.41,1.32
"Meghalaya","East Jaintia Hills",1.87,1.4,1.38,1.29,0.71
"Meghalaya","East Khasi Hills",1.12,1.42,1.27,1.58,0.94
"Meghalaya","North Garo Hills",1.01,1.53,1.38,3.02,0.82
"Meghalaya","Ribhoi",0.96,1.65,1.51,1.69,1.19
"Meghalaya","South Garo Hills",1.86,2.22,0.77,2.11,1.44
"Meghalaya","South West Garo Hills",1.14,3.76,1.68,1.65,1.26
"Meghalaya","South West Khasi Hills",1,1.11,1.25,2.25,5
"Meghalaya","West Garo Hills",2.2,2.13,1.73,1.08,1.09
"Meghalaya","West Jaintia Hills",0.58,1.32,1.74,1.5,1.2
"Meghalaya","West Khasi Hills",1.6,2.02,0.94,1.42,0.56
"Madhya Pradesh","Agar Malwa",0.73,1.21,0.68,0.8,0.81
